|gpt_majority|expert1|expert2|expert3|expert_any|experts_majority|gpt_all_labels|label_gpt_1_unanimously|label_gpt_1_almost_unanimously
42|0|0|0|0|0|0|0,0,0,0,0|0|0
43|1|0|1|1|1|0|1,1,1,1,1|1|1
44|1|0|0|1|1|0|1,1,1,1,1|1|1
45|1|0|0|0|1|0|1,0,1,1,0|0|0
46|0|0|0|0|0|0|0,0,1,0,1|0|0
47|1|0|0|0|0|0|1,0,0,1,1|0|0
48|0|0|0|0|0|0|0,0,0,0,0|0|0
49|1|1|1|1|1|1|1,1,1,1,1|1|1
50|1|1|1|0|1|0|1,1,1,1,1|1|1
51|1|1|0|1|1|0|1,1,1,1,1|1|1
52|1|1|1|0|1|1|1,1,1,1,1|1|1
53|0|0|0|0|0|0|1,1,0,0,0|0|0
54|1|0|0|0|0|0|1,1,1,1,0|0|1
55|1|0|1|1|1|0|1,1,1,1,1|1|1
56|0|0|0|0|0|0|0,0,0,0,0|0|0
57|1|0|0|0|0|0|0,0,1,1,1|0|0
58|1|1|1|0|1|1|1,1,1,1,1|1|1
59|1|0|0|0|0|0|1,1,0,1,1|0|1
60|0|0|0|0|0|0|0,1,1,0,0|0|0
61|0|0|0|0|0|0|0,0,0,0,0|0|0
62|1|0|0|0|0|0|1,1,1,1,1|1|1
63|0|0|0|0|0|0|0,0,0,0,0|0|0
64|1|1|0|0|1|0|1,1,1,0,1|0|1
65|1|0|0|0|1|0|1,1,1,1,1|1|1
66|1|0|0|0|0|0|1,0,1,1,0|0|0
67|0|0|0|0|0|0|0,0,0,0,0|0|0
68|1|0|0|0|0|0|1,1,1,1,1|1|1
69|1|0|1|0|1|0|0,1,0,1,1|0|0
70|1|0|0|0|0|0|1,0,1,0,1|0|0
71|1|0|0|0|0|0|1,1,1,0,1|0|1
72|1|1|1|1|1|0|1,1,1,1,1|1|1
73|1|0|0|1|0|0|1,1,1,1,1|1|1
74|1|1|0|0|1|0|1,0,1,1,1|0|1
75|1|0|0|0|0|0|1,0,1,1,1|0|1
76|1|0|0|0|1|0|1,1,1,1,1|1|1
77|0|0|0|0|1|0|0,0,0,0,0|0|0
78|1|0|0|0|0|0|1,0,1,1,0|0|0
79|1|0|0|0|0|0|1,1,0,1,1|0|1
80|0|0|0|0|0|0|0,0,0,0,0|0|0
81|0|0|0|0|0|0|0,0,0,0,0|0|0
82|1|0|0|1|1|0|1,1,1,1,1|1|1
83|1|0|0|1|1|0|1,1,1,1,1|1|1
84|1|0|0|0|0|0|1,1,1,1,1|1|1
85|1|0|0|0|0|0|1,1,1,1,0|0|1
86|1|0|0|0|0|0|1,1,1,0,0|0|0
87|1|1|0|0|0|0|1,1,1,1,1|1|1
88|0|0|0|0|1|0|0,0,0,0,0|0|0
89|0|0|0|0|0|0|0,0,0,0,0|0|0
90|1|0|0|0|0|0|1,1,0,1,1|0|1
91|1|1|1|1|1|1|1,1,1,1,1|1|1
92|0|0|0|0|0|0|0,0,0,0,0|0|0
93|0|0|0|0|0|0|0,0,0,1,0|0|0
94|1|0|0|1|1|0|0,1,1,1,0|0|0
95|1|0|0|1|1|0|0,1,1,1,1|0|1
96|0|0|0|0|0|0|0,0,1,0,0|0|0
97|1|0|0|0|0|0|1,0,1,1,1|0|1
98|1|0|0|0|0|0|0,1,1,1,0|0|0
99|1|1|0|0|1|0|1,1,0,1,1|0|1
100|1|0|0|0|0|0|1,1,1,0,0|0|0
101|1|0|0|0|0|0|1,1,0,1,0|0|0
102|1|0|0|0|0|0|1,1,1,1,1|1|1
103|1|1|1|0|1|0|1,1,1,1,1|1|1
104|1|1|1|1|1|1|1,1,1,1,1|1|1
105|1|0|0|0|1|0|1,1,1,0,1|0|1
106|1|0|0|0|0|0|1,0,1,1,0|0|0
107|1|1|0|0|1|0|1,1,1,1,1|1|1
108|0|0|0|0|0|0|0,1,1,0,0|0|0
109|1|1|1|1|1|0|1,1,1,1,1|1|1
110|1|0|0|0|0|0|1,1,0,1,1|0|1
111|1|1|1|1|1|1|1,1,1,1,1|1|1
112|1|1|1|1|1|1|1,1,1,1,1|1|1
113|1|0|0|0|0|0|1,1,1,1,1|1|1
114|0|1|0|0|1|0|0,1,0,0,0|0|0
115|0|0|0|0|0|0|0,0,0,0,0|0|0
116|1|1|0|0|0|0|1,1,1,1,1|1|1
117|1|0|0|0|0|0|0,1,1,1,0|0|0
118|1|1|0|0|1|0|1,0,1,1,0|0|0
119|0|0|0|0|0|0|0,0,0,0,0|0|0
120|1|0|0|0|0|0|0,1,0,1,1|0|0
121|0|0|0|0|0|0|0,0,0,0,0|0|0
122|1|0|0|0|0|0|1,1,1,1,1|1|1
123|1|0|0|0|0|0|1,1,0,1,1|0|1
124|0|0|0|0|0|0|0,0,0,1,0|0|0
125|0|0|0|0|0|0|0,0,0,0,0|0|0
126|0|0|0|0|0|0|0,0,0,1,0|0|0
127|0|0|0|0|0|0|0,0,0,0,0|0|0
128|1|1|1|1|1|1|1,1,1,1,1|1|1
129|1|0|0|0|0|0|1,1,1,0,1|0|1
130|1|0|0|0|0|0|1,1,0,1,0|0|0
131|1|0|0|0|0|0|1,1,0,1,0|0|0
132|1|1|1|1|1|1|1,1,1,1,1|1|1
133|0|0|0|0|0|0|0,0,0,0,0|0|0
134|0|0|0|0|0|0|0,0,0,0,0|0|0
135|1|0|1|0|1|0|1,1,1,1,1|1|1
136|1|0|0|0|1|0|1,1,1,1,1|1|1
137|0|0|0|0|0|0|1,0,0,0,0|0|0
138|1|0|0|0|0|0|1,1,1,1,1|1|1
139|0|0|0|0|0|0|0,0,0,0,0|0|0
140|1|1|0|1|1|0|1,1,1,1,1|1|1
141|1|1|0|0|1|0|1,1,1,1,1|1|1
142|1|1|1|1|1|1|1,1,1,1,1|1|1
143|0|0|0|0|0|0|0,0,0,0,0|0|0
144|1|0|0|0|0|0|1,1,1,1,1|1|1
145|1|0|1|1|1|1|1,1,1,1,1|1|1
146|1|0|1|1|1|0|1,1,1,1,1|1|1
147|1|0|0|0|0|0|1,1,1,1,1|1|1
148|1|0|0|0|1|0|1,1,1,1,1|1|1
149|1|0|0|0|0|0|0,1,1,1,1|0|1
150|1|1|1|1|1|0|1,1,1,1,1|1|1
151|1|0|0|0|1|0|1,1,1,1,1|1|1
152|1|0|0|0|0|0|1,1,1,1,1|1|1
153|1|1|0|1|1|1|1,0,1,1,0|0|0
154|1|1|1|0|1|1|1,1,1,1,1|1|1
155|1|0|0|0|0|0|1,1,1,1,0|0|1
156|0|0|0|0|0|0|0,0,0,0,0|0|0
157|1|0|0|0|1|0|0,1,0,1,1|0|0
158|0|0|0|0|1|0|0,0,0,1,0|0|0
159|0|0|0|0|0|0|0,0,0,0,1|0|0
160|1|1|0|1|1|1|1,1,1,1,1|1|1
161|1|0|0|0|0|0|1,0,1,1,0|0|0
162|1|0|0|0|0|0|0,1,1,0,1|0|0
163|1|0|0|0|0|0|1,1,1,1,1|1|1
164|0|0|0|0|0|0|0,0,1,0,0|0|0
165|1|0|0|0|1|0|1,1,1,1,1|1|1
166|0|0|0|0|0|0|0,0,0,0,0|0|0
167|1|0|0|0|0|0|1,0,1,0,1|0|0
168|1|0|0|0|0|0|1,1,1,0,0|0|0
169|1|0|0|0|1|0|0,1,0,1,1|0|0
170|1|0|1|1|1|0|1,1,1,1,1|1|1
171|1|1|0|1|1|0|0,1,1,1,1|0|1
172|0|0|0|0|0|0|0,0,0,0,0|0|0
173|1|0|1|0|1|0|1,1,1,0,1|0|1
174|1|1|0|0|1|0|1,1,1,1,1|1|1
175|1|0|0|0|1|0|1,1,1,1,0|0|1
176|1|0|0|0|1|0|1,1,1,1,1|1|1
177|1|0|0|0|0|0|1,0,1,1,1|0|1
178|1|0|0|0|1|0|1,1,1,1,1|1|1
179|0|0|0|0|1|0|0,0,0,0,0|0|0
180|1|1|0|0|1|0|1,1,1,1,1|1|1
181|1|0|0|0|0|0|1,1,1,1,1|1|1
182|1|1|0|1|0|0|1,1,1,1,1|1|1
183|0|0|0|0|0|0|0,0,0,0,0|0|0
184|1|1|0|1|1|1|1,1,1,1,1|1|1
185|1|0|0|1|1|0|1,1,1,1,1|1|1
186|1|1|1|0|1|0|1,1,1,1,1|1|1
187|1|0|0|0|1|0|0,0,1,1,1|0|0
188|0|0|0|0|0|0|0,0,0,0,0|0|0
189|1|0|0|0|1|0|1,1,1,0,0|0|0
190|0|0|0|0|1|0|0,0,0,0,0|0|0
191|1|0|0|0|0|0|1,1,0,1,1|0|1
192|0|0|0|0|1|0|0,1,0,0,0|0|0
193|1|0|0|0|0|0|0,1,1,1,0|0|0
194|0|0|0|0|0|0|0,0,0,0,0|0|0
195|0|0|0|0|0|0|0,0,0,0,0|0|0
196|1|0|0|1|1|0|1,1,1,1,1|1|1
197|1|0|0|1|1|0|1,1,1,1,1|1|1
198|0|0|0|0|0|0|0,0,0,0,0|0|0
199|1|1|1|0|1|0|1,0,1,1,1|0|1
200|0|0|0|0|0|0|0,0,0,0,0|0|0
201|1|0|1|1|1|1|1,1,1,1,1|1|1
