|user_idh|post_idh|Self-direction|Stimulation|Hedonism|Achievement|Power|Security|Conformity|Tradition|Benevolence|Universalism
10|22e9bd515234423e1a47126749e9c5b67ff0f33cd8b6c5ce19c5c322380369bb|1ffdb0f3a29e9546467ac128269b00d1f480ed63fdeec09629bea39c5ff3a96a|1,1,1,1,1|1,1,1,1,1|1,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
11|ddc5296131b7c3ab29254a8611c9830b0697094700065e18565b325ff5dd30c7|0c1c782b13a420f56844e2e3f36276f249388410e01b3942e1ea03af3d018a77|0,1,0,0,1|0,0,0,0,0|0,0,1,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,1,0|0,0,0,0,0|1,1,1,1,1|0,0,0,0,0
12|c90492f37ea3696c4562981fc51bb4a8cff13fc19a8cbac834dbfebae063b94a|ab314cab6808c90bb23527ce1ba41fcba935f3544add3529f61c3f65d1649668|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,0,0,0,1|1,1,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,1,1,1
13|66773b2e7510d68046fe33a39751d9698337805c2c0945391a31b5cf5089e6b1|0c1c782b13a420f56844e2e3f36276f249388410e01b3942e1ea03af3d018a77|0,0,0,0,0|0,0,0,0,0|1,1,0,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,1,1,0|0,0,0,0,0
14|b32ca0e5a101612470fbb2b4dfbf80b733c5ca9f9ad4a956270818fbd9bbcee7|10f50a3e6b74d1e203d0ada669127341f11ef2a15f3f3cbee49ffd0a043f2463|1,1,0,1,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,0,0,0|0,0,0,0,0|0,0,0,0,1|0,0,0,0,0
15|cc109c530a54ef80bd447a9e40422e1ab4b83847fe6249b5697e71ff9eea05ee|e3879f8ac5f7121316809f2a2c9b9c2c2278e7680ca869637bcd35f672b89e58|1,1,1,1,1|1,1,1,1,1|0,0,0,0,0|1,1,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
16|1c7689fc2b28c30bd1885a44b75fe7908063fe948789c6c365aae07cd88d5452|8b4454125f189d88e86f08500f23f2ddbccb4ab36a5fa8cf9a30d012c42a5e46|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,1,0,1|0,1,0,0,0|1,1,1,1,1|0,0,0,0,0|1,1,0,1,1
17|6f65c573ebcb377772b5da36ed64803cac5cc8f41b7e62856cf69dd8836c726d|6dde0260c39ed68351e17fd4ccc3acd40a2f7d7ec1d19e97e03571ce9796658b|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,1,0|0,0,0,0,0|1,1,1,1,1|1,1,1,1,1
18|364d6fc9113c086430032cff85b3b8a47f88c0bcb0ed35f52db79acf11451a73|794dac129bd5237d92162b28ebfad52c52b1d5f45a9b327348658497015fe153|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,1,0,0|0,0,1,0,0|0,0,0,0,0|1,1,1,1,1|0,0,0,1,0
19|5d36f4f124b0a3c3880b4d33a1770fe5dbb9e69f3880579a22974448bde327ed|e737843c1b4cc828a0b6290a13559889bf3a9c528f7ef7906d47e7b590e4fcc7|1,1,0,1,1|0,0,0,1,0|0,1,1,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,0,1,1,1|0,0,0,0,0
20|7f530b8acbaa0ec273eeca277f3228760e6160c5b87bb5109649aa6ff035f7cf|7bd7dc5d600a4845920e9912eabf18ddd0dcfdfccc60bab62e07d414aa8f3579|1,0,1,1,0|1,1,1,1,1|0,0,0,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,0,1,0|0,0,0,0,0
21|b4c845ca4a0a0676c3f11a6dcbd541893c1fdd366940b30436b8c3dc33023efe|77ccade2f5bcba6f02e33ee142c7475e57b48c7b5cede2862a005efbffb5356f|1,1,1,0,1|0,1,0,0,0|0,0,0,0,0|0,1,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|0,1,0,1,1
22|de84ef9cd770f6c21e2f1c8c24a95a90917658c6ccb297d4b8dc612f53eb7f5c|191e1f0c9be2465b4987c7e3bf010bd9d54785a289b1329368896c23b0accfe6|0,0,0,0,0|0,0,0,1,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,0,0|0,0,0,0,0
23|9714e8145e612f4a94404c310590c73c51e5a75cd1c14d503d4cef21e384b21e|21979f511e2c8f60ed9580c2cb1b5e2d003337e2e7a756db1a25aba3afecd3c2|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,0,0,0,1|0,0,0,0,0
24|3d6a0ea32b62cbc7568f79b3b73221fc996609e817ebf33b4d956fef891088bd|814a0f3743d4ca79233eb73c35768dbe50c0e947273f0a74e6e4526c444201ab|1,1,0,1,1|1,1,0,1,1|0,0,0,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,0,0,0|0,0,0,0,0|0,0,0,0,0
25|8e1a0375fc962fe8275a12bcf04f112f613037ee6089d88a39c40dadc3659f13|f9905a3db55f3f874da99491582a6c71c55ed4a3ad8c3d8ba22c73566b23d09a|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,1,0,0|0,0,1,0,0|0,0,0,0,0|1,1,1,1,1|0,0,0,0,0|1,1,1,1,1
26|b9cd0f5c7af2de48fb1456a1e163d4ff77a59cf7c3972a6ecd6dcedc14494380|23039f14d7513cb7796a6f6fd0bf26d03a5a17d67682e525aea88c56ffbb28ea|0,0,0,0,0|1,1,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,1,1,1|0,0,1,0,0
27|5375cf83f858792ae0fe40978207483b229d5932b4da2a95d9f71b85e2a86297|7f06129ec62ac6198b16dd2110f24e7e4bd524e3e0f4394b4c5980134d851a4e|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
28|641bf3bac2fdd31c385d9c51871d41da22719b847b5558998449fd84796e162f|118e22a5edb2f811673c9b1bd9b03766ce8a98f362c57dc1b945ee91ce9bc9fd|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,0,0,0,0|0,0,0,0,0|0,0,1,0,0|0,0,1,0,0|1,1,1,1,1|1,1,1,1,1|0,0,0,0,0
29|35e905477d16eacfb0b82e6754cd68486090c2f31a07482c7d9e9088d43cf8d1|57ebf7176ee201cbdaa3928a088145d8d8597308c536b504f6c163c3d9b7a8e8|1,1,1,1,0|0,0,0,0,0|0,0,1,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,1|0,0,0,0,0|1,1,0,1,0|0,0,0,0,0
30|07602444ceff4decbd689a75a6f31c0b1ca99cdb3eb3814016565c386baefc1e|a019537182be954f91a272b71da991b058fcfb56cc21e38a04f62a20b4b40efb|1,1,1,1,1|1,1,1,1,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
31|92d2b97a07a5f873378a4803e80036681f6fc3d933f19b321ad88beeb4af079d|794dac129bd5237d92162b28ebfad52c52b1d5f45a9b327348658497015fe153|1,1,1,1,1|1,1,0,1,1|0,0,0,0,0|0,0,0,0,0|1,1,1,1,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
32|4bdca41b8902f62dd891fd926510c34fef933bde7bf1efbf2b573463fa0f6d39|ef5ad9b589018d3e8692c2adb5536d7d462c73177113b7443656357e41eaceb9|1,1,0,1,0|0,1,1,1,0|1,1,1,1,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,0,0,1|0,0,0,0,0
33|eef44e7a6648fcff57f48763936df885009127a89af57b76543822408e70cb50|241002f0c7f7b6fd5aa78414f70a1eab84d9391f953f754e70903dacfd5a7e0f|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,1,0|1,1,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
34|67857e799fcad51d6435fe904c384d3b923c0aeb717aa917f6e20ca1fa7c6be2|3b4a84975f52515c0d44f79bca96b3e57f3f4a1581e9b9aa59b963cf771a1be6|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|1,1,1,1,1|0,1,0,0,0|0,0,1,0,1|0,0,0,0,0
35|ba623940e2d0e5d039793351fcbdcb409de16f262b6b3d3f3900d049016cba55|b09932d04c971d155f0034e01fdc239169a3c362161bb64136870c6b367887a7|1,1,1,1,0|1,1,1,1,1|0,0,0,0,0|1,1,1,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
36|863ba3c50fa5244a125d07bb981bb427326a10d7d6b2dcb5d6633e834261dfa3|51ceda055469d5a0e52b062eee744f5f9229a962af5c7e820a2339f16361be41|1,0,0,0,0|1,1,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
37|d0631e10fae96ad5b3894b023a4ad8f6ad6a023f925cc85a08d457d9e762d480|c29f7f665f7aec35ed13df949a4ba6f60dbe62f7a8513441cc0643c5e2e8ae7a|1,1,1,1,1|0,1,0,1,1|1,1,1,1,1|1,1,1,1,1|1,1,1,1,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
38|25e0c2d53b36de3f8ec380a03fb1a13b53271770deeb8dd32896705e85d2bf3b|8d5e281f4e3e3330cf762867fda96e8e21c804bc0c044fff6ab71a10df4a7b97|0,0,0,1,0|0,1,1,1,1|1,1,1,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
39|408f109f278b136c1d44fc7fd0cac16252f915fc961ab58e818837b93ba2aa22|a310aea43d806604a8d7203c347268a62c66d7e48cd73042d1bd5d069d1c6747|1,0,1,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
40|eea324cb2f327581c7e81d61c4ab5460275ab844afa5d6ceef2d9800cdc0fa32|c4be15fc552ed20b1be5ceb46da3d850e0f5fd9eac1e2dff08048d624cf68965|0,0,0,0,0|1,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,1,0|0,0,0,0,0|0,0,0,0,0
41|c0a7a5e47936f48c85ec6d51745c85aa13ba9662a1bd9fb4244ec2b1ad5de6c2|c29f7f665f7aec35ed13df949a4ba6f60dbe62f7a8513441cc0643c5e2e8ae7a|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,0,0,0,1|1,1,1,1,1|0,0,0,0,0
42|e8c23d8ecc357d75bb582246f96ce5b1a43dac41c067d9541caf05f1ceedecc7|cabaffae1fd74c915a409929b139f1a0a1564374366fd77c7acb2b48ef22a264|1,1,1,1,1|1,1,1,1,1|1,1,1,1,1|0,0,0,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
43|de28b31d99cccca5f32399a6fed0e856b4ce14d7ff30268c3ac14106e2f0563b|ddd4db2f4bed6b7dac33d579dbe00850a06ffa7768aea87128e09c65caddd083|1,0,0,0,0|0,0,0,0,0|0,1,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|0,0,0,0,0
44|8528be312b9fe9ef0d177069959f60b4b8e0a81c614ea1513631605898655989|b42e019dc570b263cf1a44953b212ea92f963adbb3467d67a9704eac9f78f4b9|1,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|1,0,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,0,0,0,0
45|c72e1bc46bc07918078c9205bed350a4aad22f073c71561e659ae850e2146d31|e4c1035b506389a20048dbd7f0743f89ecb4a7f094895709cd24ac3246461657|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,0,1,0,1|0,0,1,1,0|0,0,0,1,0|1,1,1,1,1|1,1,1,0,1
46|c7156837976d6eaee4cb508c867ac7f86e2b5306ae3861217935065acd9a6096|414331b68575ca2cae31ab72e11154a8edee2f020bd8161b56179f72ad43079b|1,1,1,1,1|1,1,1,1,1|1,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,1,0|0,0,0,0,0
47|6171daab450ec17d006887d7cd054d66efd64e314cd4084dff66ce964b573bcd|0c1c782b13a420f56844e2e3f36276f249388410e01b3942e1ea03af3d018a77|1,0,1,1,1|1,1,1,1,1|0,1,0,1,0|0,1,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
48|cc4f3c7de112515bd6ca884262297f76f8a8b08f46f7e18b24e5a576c3ec8247|c4d71fa701c406ab6e3016ccd23a83817d1ae1392f983601d2a26e866dac38a7|1,0,1,1,0|0,0,0,0,0|1,1,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
49|1e0b2b4eb861f9e1c2f8f8f2a2375860d62b7c23ae998902b5d8e8f469889e07|6e9656fdf1a81710681bedf751ced1c98baf28dd5fe38f90a514524542c3f2b8|1,1,1,1,1|1,1,1,0,0|1,1,1,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
50|2f11c1d4e0d20aa181773fd3ca918ec29678faa7bb6cd7e4a0dd159e85fa71c8|f92ed7f7ac6df90496f1f902458dae258f453792c308785eb790ba1577f87b34|1,0,1,1,1|1,1,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
51|62f83bf2da54a351bacd7c41bd88428537a9a995d32abe945ed213266ae71afe|b107e557e71c36cbfeca37a70c9b94ac13371c8c5ec02fa5be78cdb05fe3c385|1,1,1,1,0|0,1,0,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
52|3d7b173e49cbe765ede760434c2d76f8f0af3adcd037106393a7baf1f3a0e1c2|e94f4f7cce58732c86fde6a636c5c6801b065960e321abb932addb1eadc1ff15|1,1,1,1,1|0,0,0,0,0|0,0,1,0,0|0,1,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,1,0|0,0,0,0,0
53|db457ff5a76ed7ffbea3976cc5ce7c61d4cf7b6f7112677e196ac01b991e77f9|33bb54af845070e070ec7d090311c26155c998ad618e3b139ec1e5c15b8b013e|1,0,1,1,0|1,1,1,1,1|0,0,0,0,0|0,0,0,1,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
54|991d9019244c36e304c9df15c356c1cd26f70872d6ff72cf8547e01090c91713|c93b22b354ab9e38619cb9ce868da4162a53edc8dbb1190e173c8648d6084542|0,0,0,0,0|0,0,1,0,0|0,0,0,0,0|1,1,1,1,0|0,1,1,0,0|0,1,0,0,1|0,0,0,0,0|0,0,1,0,1|0,0,0,1,0|0,0,0,0,0
55|2a90597e27eca23f2c5294c72a39f35fadbfb44c9dd7b91244a590c3c2108646|e6e8661600bd8c934b2afe43303c1ad1ad9a1386c8f2def0df327b0994e92365|1,1,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
56|529effe6130d2b4b3a13c242a5e0ab47125c4a08f6afbf8984b4eeea12250604|7f06129ec62ac6198b16dd2110f24e7e4bd524e3e0f4394b4c5980134d851a4e|0,0,0,0,0|1,0,1,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,0,1,0
57|cbc8fc835181e97bda9f2246f1f553e800219849a73b48ef1b78471c880a6fc6|9d3e901a4bf6fd85e7f9c58ba7429f8df4ff3017a40f24856779fda9741e0354|1,1,1,1,1|1,0,1,1,1|0,0,0,0,0|1,1,0,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
58|13b0b611ea1496f61402e3dea6e216095c7b8b3bbe137164ad988d2b79437e53|b0b47572009effdac23e6e7498ad82ae8431ef949284a0cddaf4184462081890|1,1,1,1,1|1,1,1,1,1|1,0,0,0,1|1,0,0,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
59|3e9e7c89096860e519d0de8c15b196f8e5177e0bd666d20fe7853b5e924acd8c|5a52774a7fa0bf446be242827b4a8189c78936e356750a03053b86c2efc37734|0,0,1,1,0|0,0,0,0,0|0,0,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,0,1,1|0,0,0,0,0
60|4587c37bc3f95c951b582e5415e890e1c71df9c7a233352c49448885ba28d2cd|104b0f7139eaa5167382695aa4a2c1a4bbe91dca2e6b42eb22a2ae00b6537992|0,0,0,0,0|1,0,0,1,0|1,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,0,0,1,0|1,1,1,1,1|0,1,0,0,1
61|595e88912e6f4bced2ca121630d24b0cf0eb9b3e0935032529c23bdb5fa4a872|7f06129ec62ac6198b16dd2110f24e7e4bd524e3e0f4394b4c5980134d851a4e|1,1,1,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,1,1,0|1,1,1,1,1|0,0,1,1,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,1
62|8aaf6132ddf1e0b7d989b22b2608245e1d801d3d02f6f5f2410b19c2a285619a|cabaffae1fd74c915a409929b139f1a0a1564374366fd77c7acb2b48ef22a264|0,1,0,0,0|1,0,1,1,0|0,0,1,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,1,1,0|0,0,0,0,1|0,0,0,0,0|0,0,0,0,0
63|b6773fbf2cbdf7bbd1d938af7eba5dff5b39a725b59fdcf86402a8a46608be61|d3e45fe5ed8f54bc0e78ea33104dce581ffb50c0619016e70ea05f53fc82869f|1,1,1,1,1|0,0,0,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
64|040d470b37e2f9ec51d159bf45c1f899a14cb86196188290ab423282d0ffcb5a|b42e019dc570b263cf1a44953b212ea92f963adbb3467d67a9704eac9f78f4b9|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,0,0,0|0,0,0,0,0|0,1,0,0,1|1,1,1,1,1|0,0,0,0,0
65|f72728ab1027ef7be0a23fdd5b9cc621cd0539b036a1171b72e10937a73448c7|f4889710b7f98582247a344a0869f53943d21652372af3c610e84fdc0b955e3b|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|0,1,1,1,0
66|13a68d48de551201dd53317ea67023dd406df09777cf6761cded583c1c608209|230be4c406f993dcee76974e4d3e41b8e8c7a59e1cdd397ce1f3a0268df5509c|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,1,1,0,1|0,0,0,0,0
67|5948bc4c2f92427cbea96e86ab9dc4d7efc3d2c07c19cfd225c49baf7f0fe46e|3d4fc36750110b34996941c93abb9f70427380804ed8dac43e686d6eb528136d|0,0,0,1,0|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|1,1,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
68|6f7dfb1f056bb1762ad3918fa9ec3eda12171563cb5006cb56595993689b2946|77ccade2f5bcba6f02e33ee142c7475e57b48c7b5cede2862a005efbffb5356f|0,0,0,0,0|1,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|1,1,1,1,1
69|f13c84b1b85917773537b1012ebe51d2f580786ba5e8349c34b94be403a19b0f|0c7e9d85ebc2557a187c393647ac5a372dd3d66b2a1299571c79bd04fe01d72b|1,1,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,1|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|0,0,1,1,0
70|042630ce00436d0aed7d93720580629baf8837c6991f9d9398f9d7c21028290c|0ac595bb1e8704a90d0a23a1d2957df85c59c29d49d85067d92f4a3910f71d9e|1,0,1,0,1|0,0,0,0,0|0,0,0,0,0|1,1,1,1,1|1,1,1,1,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
71|037575fbb0051979d82cafc8d6a959770dc3d2524f578fd66ef87e14bf4e7a77|251fdf205b834439753db4679fc603653e548da5ff457d5e44f30ee44d9afe79|0,1,1,0,0|0,1,0,0,0|0,1,0,0,0|0,1,1,1,1|0,0,0,0,0|1,0,1,0,0|0,0,1,0,0|1,0,0,1,0|1,1,1,1,1|0,0,0,0,0
72|97ac39bd065905f218503915734a8f25c0db6fa06569ac5eb3eab3051fe08257|d46816aba565b68cd6d179eea2ba1b0ec215794cd2359f17fabdce21adb5a289|1,0,0,0,1|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0|1,0,1,0,0|0,0,0,0,0|0,0,0,0,0|0,0,0,0,0
